50 Cent,nm1265067
Aditi Rao Hydari,nm2390814
Adjoa Andoh,nm0027957
Adria Arjona,nm5245722
Adrian Bouchet,nm1345685
Adrian Dunbar,nm0001160
Adrian Edmondson,nm0249528
Adrian Grenier,nm0004978
Adrian Lester,nm0504412
Adrian Pasdar,nm0664499
Adrian Paul,nm0001600
Adrian Scarborough,nm0769083
Adriana Lima,nm0992596
Adriana Ugarte,nm1246047
Adrianne Palicki,nm1597316
Adrien Brody,nm0004778
Adrienne Barbeau,nm0000105
Afton Smith,nm0807211
Afton Williamson,nm4182855
Agnes Bruckner,nm0115671
Agnes Kittelsen,nm1748545
Agnes Moorehead,nm0001547
Agusta Eva Erlendsdottir,nm2099110
Agyness Deyn,nm2936228
Ahna O'Reilly,nm1501738
Aida Turturro,nm0878152
Aidan Gillen,nm0318821
Aidan McArdle,nm1264521
Aidan Quinn,nm0001644
Aidan Turner,nm2636108
Aileen Quinn,nm0703747
Aimee Carrero,nm2948025
Aimee Garcia,nm0305083
Aimee Lou Wood,nm10228854
Aimee Mullins,nm1190429
Aimee Teegarden,nm1631435
Aimee-Ffion Edwards,nm2929682
Aisha Hinds,nm1490300
Aisha Tyler,nm0878768
Aishwarya Rai Bachchan,nm0706787
Aisling Bea,nm3201406
Aisling Franciosi,nm4957233
Aisling Loftus,nm1528026
Aitana Sanchez-Gijon,nm0845209
Aiysha Hart,nm4408716
AJ Michalka,nm1404488
Aja Naomi King,nm3813115
Akira Akbar,nm7739127
Akshay Kumar,nm0474774
Al Lettieri,nm0504803
Al Pacino,nm0000199
Al Sapienza,nm0002326
Al Weaver,nm1632403
Alain Delon,nm0001128
Alain Moussi,nm3857692
Alaina Huffman,nm0435509
Alan Alda,nm0000257
Alan Arkin,nm0000273
Alan Autry,nm0042641
Alan Bates,nm0000869
Alan Cumming,nm0001086
Alan Dale,nm0197638
Alan Ford,nm0285495
Alan Hale Jr.,nm0001308
Alan Ladd,nm0000042
Alan Parker,nm0000570
Alan Rachins,nm0705118
Alan Rickman,nm0000614
Alan Ritchson,nm2024927
Alan Rosenberg,nm0742165
Alan Ruck,nm0001688
Alan S. Kim,nm10910136
Alan Thicke,nm0005484
Alan Tudyk,nm0876138
Alan Van Sprang,nm0888022
Alana De La Garza,nm1004211
Alanis Morissette,nm0001551
Alanna Masterson,nm1315153
Alanna Ubach,nm0005513
Alastair Mackenzie,nm0533258
Alba Baptista,nm4926180
Alba Flores,nm1699346
Albano Jeronimo,nm1512998
Albert Brooks,nm0000983
Albert Finney,nm0001215
Alberta Watson,nm0914491
Alberto Frezza,nm3733156
Alden Ehrenreich,nm2403277
Aldis Hodge,nm0388038
Alec Baldwin,nm0000285
Alec Guinness,nm0000027
Alec Newman,nm0627995
Alejandro Hernandez,nm6375455
Alejandro Jodorowsky,nm0423524
Alejandro Nones,nm2130174
Aleks Paunovic,nm0006820
Aleksa Palladino,nm0657760
Aleksey Serebryakov,nm0148516
Alessandra Ambrosio,nm1080620
Alessandra Mastronardi,nm1616937
Alessandra Torresani,nm0003779
Alessandro Borghi,nm2899175
Alessandro Juliani,nm0432228
Alessandro Nivola,nm0005273
Alessio Boni,nm0094526
Alex Borstein,nm0097504
Alex D. Linz,nm0513281
Alex Essoe,nm3012273
Alex Ferns,nm0273159
Alex Hirsch,nm3229215
Alex Hogh Andersen,nm5405979
Alex Jennings,nm0421105
Alex Kingston,nm0005094
Alex Lawther,nm3867299
Alex Macqueen,nm1276507
Alex Mallari Jr.,nm3520506
Alex McKenna,nm0571327
Alex Meneses,nm0005224
Alex Newell,nm4571658
Alex O'Loughlin,nm1533927
Alex Pettyfer,nm1641117
Alex Reid,nm0717157
Alex Rocco,nm0733678
Alex Roe,nm1025139
Alex Russell,nm3887625
Alex Saxon,nm4273749
Alex Sharp,nm5189784
Alex Vincent,nm0898571
Alex Winter,nm0935664
Alex Wolff,nm1842974
Alex Wong,nm3940692
Alexa Davalos,nm1111968
Alexa Davies,nm4061475
Alexa Demie,nm7051533
Alexa Havins,nm1473159
Alexa Mansour,nm6501297
Alexa Nikolas,nm1054247
Alexa Nisenson,nm6835961
Alexa PenaVega,nm0891786
Alexander Calvert,nm1947611
Alexander Dreymon,nm4101853
Alexander Gould,nm1071252
Alexander Hodge,nm8791949
Alexander Ludwig,nm1573253
Alexander Payne,nm0668247
Alexander Siddig,nm0796502
Alexander Skarsgard,nm0002907
Alexander Vlahos,nm3657218
Alexandra Billings,nm1267765
Alexandra Breckenridge,nm1020036
Alexandra Chando,nm1322469
Alexandra Daddario,nm1275259
Alexandra Dowling,nm5093301
Alexandra Grey,nm4889845
Alexandra Holden,nm0005016
Alexandra Krosney,nm1153215
Alexandra Maria Lara,nm0487884
Alexandra Paul,nm0000575
Alexandra Roach,nm3789989
Alexandra Shipp,nm3381295
Alexandra Turshen,nm4078666
Alexandra Wentworth,nm0005547
Alexandre Willaume,nm0929654
Alexandria DeBerry,nm1534909
Alexia Fast,nm2145177
Alexis Arquette,nm0000793
Alexis Bledel,nm0088127
Alexis Cruz,nm0004850
Alexis Denisof,nm0219206
Alexis Dziena,nm1232226
Alexis Fields,nm0276185
Alexis Knapp,nm3625065
Alexys Nycole Sanchez,nm3465073
Alfie Allen,nm0654295
Alfonso Cuaron,nm0190859
Alfonso Herrera,nm1270781
Alfonso Ribeiro,nm0005355
Alfre Woodard,nm0005569
Alfred Enoch,nm0257917
Alfred Hitchcock,nm0000033
Alfred Molina,nm0000547
Ali Astin,nm0040012
Ali Cobrin,nm3196681
Ali Larter,nm0005123
Ali MacGraw,nm0532298
Ali Skovbye,nm3309629
Ali Wong,nm4399227
Alia Shawkat,nm0790057
Alice Braga,nm0103797
Alice Englert,nm2129444
Alice Evans,nm0262521
Alice Eve,nm1404408
Alice Greczyn,nm1445490
Alice Kremelberg,nm2450512
Alice Krige,nm0000481
Alice Lee,nm5333857
Alice Lowe,nm1546686
Alice Pearce,nm0668879
Alice Wetterlund,nm4561787
Alicia Agneson,nm9242396
Alicia Coppola,nm0178870
Alicia Goranson,nm0329773
Alicia Keys,nm1006024
Alicia Leigh Willis,nm0932265
Alicia Sanz,nm3860454
Alicia Silverstone,nm0000224
Alicia Vikander,nm2539953
Alicia von Rittberg,nm2736690
Alicia Witt,nm0001860
Alida Valli,nm0885098
Aliette Opheim,nm1760389
Alimi Ballard,nm0050584
Alisen Down,nm0235888
Alisha Bailey,nm3593001
Alisha Boe,nm2647981
Alisha Newton,nm3851019
Alisha Wainwright,nm5131141
Alison Arngrim,nm0036274
Alison Becker,nm1477070
Alison Brie,nm1555340
Alison Doody,nm0233145
Alison Eastwood,nm0002055
Alison Elliott,nm0254362
Alison Lohman,nm0517844
Alison Pill,nm0683467
Alison Steadman,nm0824102
Alison Sudol,nm0837223
Alison Sweeney,nm0842081
Alison Wright,nm2226071
Alistair Petrie,nm0677944
Alix Angelis,nm3240564
Alix Wilton Regan,nm2542896
Aliyah O'Brien,nm2784214
Allan Hawco,nm0369935
Allegra Edwards,nm3769827
Allen Covert,nm0184445
Allen Leech,nm1395602
Alli Hart,nm5841886
Allie Grant,nm1872782
Allie Marie Evans,nm7334437
Allison Dean,nm0212695
Allison Dunbar,nm0241815
Allison Hayes,nm0370886
Allison Janney,nm0005049
Allison Mack,nm0532928
Allison Miller,nm1935292
Allison Munn,nm0612956
Allison Scagliotti,nm1270095
Allison Siko,nm0797732
Allison Smith,nm0807278
Allison Tolman,nm2798112
Allison Williams,nm4129745
Allisyn Snyder,nm1534694
Ally Ioannides,nm3304678
Ally Maki,nm1280361
Ally Sheedy,nm0000639
Ally Walker,nm0001824
Alma Jodorowsky,nm2300160
Alona Tal,nm1775214
Alun Armstrong,nm0035605
Alvaro Morte,nm1486647
Aly Michalka,nm1425528
Alycia Debnam-Carey,nm1486317
Alycia Pascual-Pena,nm4875229
Alyshia Ochse,nm1865462
Alysia Reiner,nm1130496
Alyson Hannigan,nm0004989
Alyson Stoner,nm1351987
Alyssa Diaz,nm1595801
Alyssa Milano,nm0000192
Alyssa Sutherland,nm1451415
Alyvia Alyn Lind,nm4865040
Amali Golden,nm1690855
Amanda Abbington,nm0007893
Amanda Anka,nm0030136
Amanda Bearse,nm0000294
Amanda Blake,nm0086469
Amanda Brugel,nm0115760
Amanda Burton,nm0123511
Amanda Bynes,nm0004789
Amanda Cerny,nm6343096
Amanda Clayton,nm1767726
Amanda Collin,nm4518657
Amanda Crew,nm1468739
Amanda Detmer,nm0221902
Amanda Donohoe,nm0000372
Amanda Fuller,nm0298168
Amanda Hale,nm2380918
Amanda Leighton,nm3112508
Amanda Pays,nm0005301
Amanda Peet,nm0001605
Amanda Peterson,nm0000584
Amanda Plummer,nm0001625
Amanda Redman,nm0714985
Amanda Righetti,nm1119462
Amanda Root,nm0740500
Amanda Schull,nm0776040
Amanda Seyfried,nm1086543
Amanda Tapping,nm0850102
Amanda Walsh,nm1303038
Amanda Wyss,nm0944143
Amandla Stenberg,nm3964350
Amara Karan,nm2496312
Amara Zaragoza,nm1299293
Amaury Nolasco,nm1004774
Amber Anderson,nm3806097
Amber Benson,nm0072435
Amber Heard,nm1720028
Amber Marshall,nm1083338
Amber Midthunder,nm1690270
Amber Nash,nm2436722
Amber Rose Revah,nm2362244
Amber Scott,nm0778825
Amber Sienna,nm9245718
Amber Smith,nm0807291
Amber Stevens West,nm0828226
Amber Tamblyn,nm0848554
Amber Valletta,nm0005520
Ambyr Childers,nm1024107
Amelia Clarkson,nm3628485
Amelia Rose Blaire,nm3643173
Amelia Warner,nm0912396
America Ferrera,nm1065229
America Olivo,nm1760388
Ami Dolenz,nm0000371
Amiah Miller,nm6403233
Amin Joseph,nm1514763
Amir Arison,nm1682276
Amir El-Masry,nm5011084
Amirah Vann,nm2722066
Amitabh Bachchan,nm0000821
Amrita Acharia,nm3822505
Amy Acker,nm0009918
Amy Adams,nm0010736
Amy Aquino,nm0032628
Amy Bailey,nm3338776
Amy Beth Hayes,nm2805495
Amy Brenneman,nm0000312
Amy Carlson,nm0137856
Amy Davidson,nm0203221
Amy De Bhrun,nm2381142
Amy Gumenick,nm3004295
Amy Hargreaves,nm0362955
Amy Hill,nm0384032
Amy Irving,nm0001388
Amy Jackson,nm3367112
Amy Jo Johnson,nm0005057
Amy Johnston,nm1829217
Amy Landecker,nm0484541
Amy Locane,nm0000504
Amy Louise Pemberton,nm1683343
Amy Madigan,nm0001496
Amy Manson,nm2240061
Amy Morton,nm0607920
Amy O'Neill,nm0642091
Amy Pietz,nm0682970
Amy Poehler,nm0688132
Amy Rutberg,nm0751880
Amy Ryan,nm0752407
Amy Schumer,nm2154960
Amy Sedaris,nm0781238
Amy Seimetz,nm1541272
Amy Smart,nm0005442
Amy Stoch,nm0830757
Amy Wren,nm3158985
Amy Yasbeck,nm0001865
Amybeth McNulty,nm6741374
Ana de Armas,nm1869101
Ana de la Reguera,nm0478886
Ana Gasteyer,nm0309430
Ana Ortiz,nm0651067
Ana Ularu,nm0880367
Ana Villafane,nm3544963
Analeigh Tipton,nm3006818
Anastasia Baranova,nm1325199
Anastasia Hille,nm0384826
Anders Holm,nm2981082
Anders Thomas Jensen,nm0421314
Andi Matichak,nm5506858
Andi Osho,nm1450877
Andie MacDowell,nm0000510
Andra Day,nm7363531
Andra Martin,nm0551907
Andre Braugher,nm0105672
Andre De Shields,nm0211559
Andre Holland,nm2428245
Andre Royo,nm0747420
Andre the Giant,nm0000764
Andrea Anders,nm1627969
Andrea Bang,nm4490375
Andrea Bowen,nm0100792
Andrea Brooks,nm2255698
Andrea Deck,nm3342825
Andrea Londo,nm6062424
Andrea Martin,nm0551908
Andrea Navedo,nm0623085
Andrea Parker,nm0662042
Andrea Riseborough,nm2057859
Andrea Roth,nm0744776
Andrea Savage,nm0767242
Andrea Thompson,nm0005487
Andrei Tarkovsky,nm0001789
Andrew Bryniarski,nm0117420
Andrew Buchan,nm2217601
Andrew Daly,nm0198408
Andrew Dice Clay,nm0001048
Andrew Divoff,nm0228678
Andrew Dunbar,nm2687006
Andrew Garfield,nm1940449
Andrew Gower,nm4362505
Andrew Howard,nm0397110
Andrew J. West,nm2366201
Andrew Keegan,nm0005080
Andrew Knott,nm0461409
Andrew Koji,nm4010671
Andrew Lawrence,nm0492620
Andrew Lee Potts,nm0498517
Andrew Leeds,nm0498572
Andrew Levitas,nm0506165
Andrew Lincoln,nm0511088
Andrew McCarthy,nm0000530
Andrew Prine,nm0697785
Andrew Rannells,nm0710330
Andrew Robinson,nm0732367
Andrew Santino,nm2747668
Andrew Scott,nm0778831
Andrew Stanton,nm0004056
Andrew Stevens,nm0002989
Andrew W. Walker,nm1027286
Andrew Wilson,nm0932992
Andy Allo,nm3698103
Andy Biersack,nm5041989
Andy Buckley,nm2952467
Andy Dick,nm0004873
Andy Garcia,nm0000412
Andy Griffith,nm0341431
Andy Kaufman,nm0001412
Andy Muschietti,nm0615592
Andy Nyman,nm0638762
Andy Samberg,nm1676221
Andy Serkis,nm0785227
Andy Whitfield,nm1813878
Aneta Corsaut,nm0181080
Aneurin Barnard,nm2902567
Ang Lee,nm0000487
Angel Coulby,nm1076294
Angela Bassett,nm0000291
Angela Cartwright,nm0142145
Angela Featherstone,nm0004911
Angela Kinsey,nm1526554
Angela Lansbury,nm0001450
Angela Lewis,nm2084983
Angela Sarafyan,nm1494168
Angela Trimbur,nm1640326
Angelababy,nm2854802
Angelina Jolie,nm0001401
Angeline Ball,nm0050337
Angelique Cabral,nm2512132
Angie Dickinson,nm0001141
Angie Everhart,nm0004904
Angie Harmon,nm0004990
Angie Pack,nm11065266
Angourie Rice,nm3886028
Angus Imrie,nm2653929
Angus Macfadyen,nm0005171
Angus Sampson,nm0760151
Angus T. Jones,nm0427489
Angus Wright,nm0942202
Anika Noni Rose,nm0741242
Anita Barone,nm0056342
Anita Briem,nm1715194
Anita Brown,nm0113036
Anita Ekberg,nm0001179
Anja Savcic,nm2837093
Anjelica Huston,nm0001378
Ann Blyth,nm0001955
Ann Cusack,nm0193639
Ann Dowd,nm0235652
Ann Jillian,nm0422713
Ann Magnuson,nm0005174
Ann Miller,nm0587900
Ann Morgan Guilbert,nm0346893
Ann Reinking,nm0718237
Ann Sheridan,nm0792130
Ann Skelly,nm7024798
Ann Sothern,nm0815433
Ann Turkel,nm0877183
Anna Akana,nm4331196
Anna Baryshnikov,nm3793318
Anna Camp,nm2319871
Anna Chancellor,nm0151250
Anna Chlumsky,nm0001043
Anna Devlin,nm1683988
Anna Diop,nm2993012
Anna Faris,nm0267506
Anna Friel,nm0295484
Anna Gunn,nm0348152
Anna Hopkins,nm1965525
Anna Hutchison,nm0404307
Anna Kendrick,nm0447695
Anna Konkle,nm5193396
Anna Madeley,nm0534777
Anna Maria Sieklucka,nm11110971
Anna Massey,nm0557281
Anna Maxwell Martin,nm1269412
Anna Nicole Smith,nm0000645
Anna Paquin,nm0001593
Anna Popplewell,nm0691600
Anna Sawai,nm3660091
Anna Shaffer,nm2872264
Anna Silk,nm0798014
Anna Thomson,nm0505764
Anna Torv,nm1396022
Anna Walton,nm0910472
Annabel Scholey,nm2118257
Annabella Sciorra,nm0001711
Annabelle Apsion,nm0032536
Annabelle Attanasio,nm1580890
Annabelle Wallis,nm1834115
Annabeth Gish,nm0001272
Annaleigh Ashford,nm2807560
Annalisa Cochrane,nm6346552
Annalise Basso,nm2399383
Anna-Louise Plowman,nm0687491
AnnaLynne McCord,nm1715118
AnnaSophia Robb,nm1455681
Anne Archer,nm0000271
Anne Bancroft,nm0000843
Anne Baxter,nm0000879
Anne Dudek,nm0240043
Anne Francis,nm0004282
Anne Haney,nm0359774
Anne Hathaway,nm0004266
Anne Heche,nm0000162
Anne Helm,nm0375606
Anne Lockhart,nm0516860
Anne Meara,nm0575198
Anne Ramsay,nm0708867
Anne Ramsey,nm0001649
Anne Reid,nm0717176
Anne Revere,nm0720843
Anne Winters,nm3453476
Anneika Rose,nm3531173
Anneliese van der Pol,nm1156809
Anne-Marie Duff,nm0240359
Anne-Marie Johnson,nm0424509
Annet Mahendru,nm3393732
Annette Badland,nm0046183
Annette Bening,nm0000906
Annette Funicello,nm0002088
Annette O'Toole,nm0001578
Annie Costner,nm0001071
Annie Heise,nm3704163
Annie Ilonzeh,nm2679753
Annie Mumolo,nm1754239
Annie Murphy,nm2251884
Annie Parisse,nm0661755
Annie Potts,nm0001633
Annie Wersching,nm1156709
Ann-Margret,nm0000268
Ansel Elgort,nm5052065
Anson Mount,nm0609845
Anthony Alabi,nm3925786
Anthony Anderson,nm0026364
Anthony Andrews,nm0000762
Anthony Carrigan,nm2810593
Anthony Edwards,nm0000381
Anthony Head,nm0372117
Anthony Heald,nm0372217
Anthony Hill,nm5446949
Anthony Hopkins,nm0000164
Anthony James,nm0416279
Anthony Konechny,nm3424969
Anthony LaPaglia,nm0001439
Anthony Lemke,nm0501355
Anthony Mackie,nm1107001
Anthony Michael Hall,nm0001309
Anthony Perkins,nm0000578
Anthony Quinn,nm0000063
Anthony Ramos,nm6588867
Anthony Rapp,nm0710829
Anthony Simcoe,nm0799402
Anthony Zerbe,nm0001875
Antje Traue,nm1662644
Antoine Fuqua,nm0298807
Antoinette Bower,nm0100949
Anton Lesser,nm0504320
Anton Yelchin,nm0947338
Antonia Gentry,nm7228705
Antonia Thomas,nm3687902
Antonio Banderas,nm0000104
Antonique Smith,nm1478954
Antony Starr,nm1102278
Anupam Kher,nm0451600
Anya Taylor-Joy,nm5896355
Aomi Muyock,nm7312806
Aparna Nancherla,nm5478103
April Bowlby,nm1763049
April Telek,nm0854304
Aramis Knight,nm2026536
Aras Bulut Iynemli,nm4199420
Araya Mengesha,nm1796904
Archie Panjabi,nm0659544
Ardal O'Hanlon,nm0641192
Arden Cho,nm3036914
Arden Myrin,nm0617141
Aretha Franklin,nm0291349
Argyris Papadimitropoulos,nm3030296
Ari Aster,nm4170048
Ari Graynor,nm0310966
Ariana DeBose,nm3663196
Ariana Grande,nm3812858
Ariana Greenblatt,nm7567556
Ariana Richards,nm0000611
Ariane Labed,nm3987673
Ariel Winter,nm1736769
Ariela Barer,nm2821733
Arielle Kebbel,nm0444223
Ariyon Bakare,nm0048159
Arjay Smith,nm0807351
Arjun Gupta,nm3231715
Arlene Dahl,nm0006428
Arlene Golonka,nm0326626
Arlene Martel,nm0551458
Arliss Howard,nm0397124
Armaan Ralhan,nm6012399
Arman Khan Achakzai,nm2059402
Armand Assante,nm0000800
Armani Jackson,nm4110566
Armie Hammer,nm2309517
Armin Shimerman,nm0001734
Arnas Fedaravicius,nm4538500
Arnold Schwarzenegger,nm0000216
Arnold Vosloo,nm0903677
Aron Eisenberg,nm0251969
Aron Piper,nm1422693
Arsenio Hall,nm0002119
Arsher Ali,nm2468782
Art Hindle,nm0385543
Art LaFleur,nm0480869
Art Malik,nm0539562
Art Parkinson,nm3280686
Artemis Pebdani,nm2016157
Arthur Darvill,nm2965271
Arturo Castro,nm3594330
Arye Gross,nm0343325
Asa Butterfield,nm2633535
Ashanti,nm0038680
Asher Angel,nm4755508
Asher Keddie,nm0444291
Ashleigh Cummings,nm2913280
Ashley Benson,nm1667364
Ashley Eckstein,nm0237065
Ashley Greene,nm2230865
Ashley Hinshaw,nm3358233
Ashley Jensen,nm0421332
Ashley Johnson,nm0424534
Ashley Jones,nm0427521
Ashley Judd,nm0000171
Ashley Laurence,nm0491090
Ashley Madekwe,nm0534772
Ashley Newbrough,nm1203673
Ashley Olsen,nm0001580
Ashley Park,nm3594940
Ashley Peldon,nm0670779
Ashley Rickards,nm2413197
Ashley Scott,nm1008709
Ashley Thomas,nm0858500
Ashley Tisdale,nm0864308
Ashley Williams,nm0930053
Ashley Zukerman,nm2842232
Ashlie Atkinson,nm1534700
Ashly Burch,nm3950075
Ashlynn Yennie,nm2460100
Ashton Holmes,nm1525948
Ashton Kutcher,nm0005110
Ashton Sanders,nm5480894
Asia Argento,nm0000782
Asia Kate Dillon,nm3545872
Assaad Bouab,nm1492213
Astrid Berges-Frisbey,nm2793591
Athena Karkanis,nm1920701
Ato Essandoh,nm1017951
Atticus Shaffer,nm2557831
Aubrey K. Miller,nm4311746
Aubrey Plaza,nm2201555
Audie Murphy,nm0001559
Audra McDonald,nm0567653
Audrey Fleurot,nm1109153
Audrey Hepburn,nm0000030
Audrey Landers,nm0484626
Audrey Marie Anderson,nm1017524
Audrey Tautou,nm0851582
August Diehl,nm0225944
Augusto Aguilera,nm2941877
Augustus Prew,nm1167083
Auli'i Cravalho,nm7635388
Aunjanue Ellis,nm0254712
Aura Garrido,nm3467663
Aurora Perrineau,nm4563780
Austin Abrams,nm3641002
Austin Amelio,nm3994184
Austin Butler,nm2581521
Austin Nichols,nm0629538
Austin Pendleton,nm0671721
Austin Reed Alleman,nm5838022
Austin Stowell,nm3271473
Austyn Johnson,nm8874655
Autumn Reeser,nm1032208
Ava DuVernay,nm1148550
Ava Gardner,nm0001257
Ava Michelle,nm6433012
Avan Jogia,nm2240326
Avery Brooks,nm0000984
Aviva Baumann,nm0267124
Awkwafina,nm5377144
Aya Cash,nm2251731
Ayca Aysin Turan,nm5645823
Ayelet Zurer,nm0957909
Azita Ghanizada,nm1671257
Aziz Ansari,nm2106637
Azura Skye,nm0005439
B.J. Novak,nm1145983
Bae Doona,nm0046277
Bae Suzy,nm7108248
Bai Ling,nm0000499
Bailee Madison,nm1933128
Bailey Chase,nm0003082
Bailey Noble,nm3950210
Balthazar Getty,nm0001267
Bar Paly,nm1427034
Barbara Alyn Woods,nm0940504
Barbara Babcock,nm0044823
Barbara Bach,nm0000819
Barbara Bain,nm0000828
Barbara Billingsley,nm0082511
Barbara Bouchet,nm0099054
Barbara Carrera,nm0000324
Barbara Crampton,nm0186225
Barbara Eden,nm0001174
Barbara Feldon,nm0271156
Barbara Flynn,nm0283409
Barbara Hale,nm0354853
Barbara Hershey,nm0001347
Barbara Lennie,nm1036659
BarBara Luna,nm0526008
Barbara Niven,nm0018271
Barbara Rhoades,nm0722315
Barbara Rush,nm0750640
Barbara Stanwyck,nm0001766
Barbi Benton,nm0072902
Barbie Ferreira,nm9209960
Barbra Streisand,nm0000659
Barkhad Abdi,nm5831542
Barret Oliver,nm0646768
Barrett Doss,nm5495383
Barrie Chase,nm0153691
Barry Bostwick,nm0000960
Barry Corbin,nm0179224
Barry Humphries,nm0402032
Barry Keoghan,nm4422686
Barry Levinson,nm0001469
Barry Livingston,nm0515225
Barry Nelson,nm0625167
Barry Pepper,nm0001608
Barry Sloane,nm1289351
Barry Watson,nm0005538
Basil Rathbone,nm0001651
Baz Luhrmann,nm0525303
BD Wong,nm0000703
Bea Arthur,nm0037735
Bea Benaderet,nm0070153
Beanie Feldstein,nm2788156
Beatie Edney,nm0249622
Beatrice Dalle,nm0001095
Beatrice Rosen,nm0742389
Beau Bridges,nm0000977
Beau Garrett,nm1683768
Beau Knapp,nm3354041
Beau Mirchoff,nm2155525
Bebe Neuwirth,nm0001564
Becki Newton,nm1182048
Becky Ann Baker,nm0048250
Becky G,nm3121384
Becky O'Donohue,nm1659558
Bel Powley,nm2525790
Belinda Montgomery,nm0599727
Belinda Stewart-Wilson,nm0829134
Bella Dayne,nm3598736
Bella Heathcote,nm2757333
Bella Higginbotham,nm5820235
Bella Murphy,nm11899166
Bella Ramsey,nm8165602
Bella Thorne,nm2254074
Bellamy Young,nm0949292
Ben Affleck,nm0000255
Ben Aldridge,nm3198781
Ben Barnes,nm1602660
Ben Browder,nm0112871
Ben Chaplin,nm0001035
Ben Chase,nm6064640
Ben Cotton,nm0970805
Ben Cross,nm0002027
Ben Daniels,nm0199842
Ben Diskin,nm0228356
Ben Falcone,nm1229520
Ben Feldman,nm1133651
Ben Foster,nm0004936
Ben Gazzara,nm0001262
Ben Geurens,nm0315321
Ben Hardy,nm5228887
Ben Johnson,nm0424565
Ben Kingsley,nm0001426
Ben Lawson,nm0493159
Ben McKenzie,nm1360270
Ben Mendelsohn,nm0578853
Ben Miles,nm0587060
Ben Miller,nm0587950
Ben Platt,nm4805317
Ben Robson,nm4466085
Ben Savage,nm0005399
Ben Schnetzer,nm3115493
Ben Schwartz,nm2355635
Ben Shenkman,nm0791570
Ben Stiller,nm0001774
Ben Whishaw,nm0924210
Benedict Cumberbatch,nm1212722
Benedict Wong,nm0938950
Benicio Del Toro,nm0001125
Benito Martinez,nm0553468
Benjamin Bratt,nm0000973
Benjamin Hollingsworth,nm2618951
Benjamin Koldyke,nm0463993
Benjamin Salisbury,nm0758436
Benjamin Walker,nm0907548
Benny Safdie,nm1509478
Berenice Bejo,nm0067367
Berenice Marlohe,nm2966102
Bernadette Peters,nm0001613
Bernard Fox,nm0288882
Bernard Hill,nm0384060
Bernie Kopell,nm0465728
Bernie Mac,nm0005170
BernNadette Stanis,nm0822304
Bess Armstrong,nm0000787
Bessie Carter,nm2632843
Beth Behrs,nm3396631
Beth Brickell,nm0108565
Beth Broderick,nm0110803
Beth Dover,nm1074478
Beth Grant,nm0335275
Beth Hall,nm1305105
Beth Riesgraf,nm0726360
Beth Toussaint,nm0869728
Beth Triffon,nm3253487
